   0.000E+00   0.245E-01   0.421E-03   0.657E-06   0.799E-04   0.284E-03
   0.100E+05   0.242E-01   0.358E-03   0.000E+00   0.139E-03   0.111E-03
   0.200E+05   0.239E-01   0.352E-03   0.000E+00   0.145E-03   0.101E-03
   0.300E+05   0.236E-01   0.343E-03   0.000E+00   0.149E-03   0.945E-04
   0.400E+05   0.233E-01   0.332E-03   0.000E+00   0.173E-03   0.888E-04
   0.501E+05   0.231E-01   0.320E-03   0.000E+00   0.186E-03   0.838E-04
   0.601E+05   0.228E-01   0.307E-03   0.000E+00   0.209E-03   0.793E-04
   0.701E+05   0.225E-01   0.295E-03   0.000E+00   0.228E-03   0.751E-04
   0.801E+05   0.223E-01   0.283E-03   0.000E+00   0.242E-03   0.712E-04
   0.901E+05   0.220E-01   0.272E-03   0.000E+00   0.255E-03   0.676E-04
   0.100E+06   0.218E-01   0.261E-03   0.000E+00   0.266E-03   0.641E-04
   0.110E+06   0.216E-01   0.251E-03   0.000E+00   0.275E-03   0.609E-04
   0.120E+06   0.213E-01   0.241E-03   0.000E+00   0.288E-03   0.578E-04
   0.130E+06   0.211E-01   0.232E-03   0.000E+00   0.308E-03   0.548E-04
   0.140E+06   0.209E-01   0.223E-03   0.000E+00   0.362E-03   0.540E-04
   0.150E+06   0.207E-01   0.215E-03   0.000E+00   0.385E-03   0.507E-04
   0.160E+06   0.204E-01   0.207E-03   0.000E+00   0.404E-03   0.480E-04
   0.170E+06   0.202E-01   0.200E-03   0.000E+00   0.420E-03   0.455E-04
   0.180E+06   0.200E-01   0.193E-03   0.000E+00   0.432E-03   0.432E-04
   0.190E+06   0.198E-01   0.186E-03   0.000E+00   0.446E-03   0.410E-04
   0.200E+06   0.196E-01   0.180E-03   0.000E+00   0.456E-03   0.389E-04
   0.210E+06   0.194E-01   0.174E-03   0.000E+00   0.464E-03   0.369E-04
   0.220E+06   0.193E-01   0.168E-03   0.000E+00   0.472E-03   0.351E-04
   0.230E+06   0.191E-01   0.163E-03   0.000E+00   0.482E-03   0.334E-04
   0.240E+06   0.189E-01   0.157E-03   0.000E+00   0.488E-03   0.317E-04
   0.250E+06   0.187E-01   0.152E-03   0.000E+00   0.496E-03   0.301E-04
   0.260E+06   0.186E-01   0.148E-03   0.000E+00   0.498E-03   0.286E-04
   0.270E+06   0.184E-01   0.143E-03   0.000E+00   0.506E-03   0.272E-04
   0.280E+06   0.182E-01   0.139E-03   0.000E+00   0.505E-03   0.259E-04
   0.290E+06   0.181E-01   0.135E-03   0.000E+00   0.510E-03   0.246E-04
   0.300E+06   0.179E-01   0.131E-03   0.000E+00   0.517E-03   0.249E-04
   0.310E+06   0.178E-01   0.127E-03   0.000E+00   0.512E-03   0.232E-04
   0.320E+06   0.176E-01   0.124E-03   0.000E+00   0.516E-03   0.218E-04
   0.330E+06   0.175E-01   0.120E-03   0.000E+00   0.521E-03   0.207E-04
   0.340E+06   0.173E-01   0.117E-03   0.000E+00   0.516E-03   0.196E-04
   0.350E+06   0.172E-01   0.114E-03   0.000E+00   0.513E-03   0.187E-04
   0.360E+06   0.171E-01   0.111E-03   0.000E+00   0.514E-03   0.177E-04
   0.370E+06   0.169E-01   0.108E-03   0.000E+00   0.518E-03   0.168E-04
   0.380E+06   0.168E-01   0.105E-03   0.000E+00   0.527E-03   0.160E-04
   0.390E+06   0.167E-01   0.103E-03   0.000E+00   0.524E-03   0.152E-04
   0.400E+06   0.165E-01   0.100E-03   0.000E+00   0.524E-03   0.144E-04
   0.410E+06   0.164E-01   0.976E-04   0.000E+00   0.524E-03   0.137E-04
   0.420E+06   0.163E-01   0.953E-04   0.000E+00   0.526E-03   0.130E-04
   0.430E+06   0.161E-01   0.930E-04   0.000E+00   0.531E-03   0.123E-04
   0.441E+06   0.160E-01   0.908E-04   0.000E+00   0.528E-03   0.117E-04
   0.451E+06   0.159E-01   0.887E-04   0.000E+00   0.528E-03   0.112E-04
   0.461E+06   0.158E-01   0.866E-04   0.000E+00   0.525E-03   0.106E-04
   0.471E+06   0.157E-01   0.847E-04   0.000E+00   0.525E-03   0.101E-04
   0.481E+06   0.156E-01   0.824E-04   0.000E+00   0.525E-03   0.107E-04
   0.491E+06   0.155E-01   0.808E-04   0.000E+00   0.524E-03   0.978E-05
   0.501E+06   0.153E-01   0.791E-04   0.000E+00   0.527E-03   0.912E-05
   0.511E+06   0.152E-01   0.774E-04   0.000E+00   0.519E-03   0.862E-05
   0.521E+06   0.151E-01   0.758E-04   0.000E+00   0.518E-03   0.817E-05
   0.531E+06   0.150E-01   0.742E-04   0.000E+00   0.515E-03   0.776E-05
   0.541E+06   0.149E-01   0.726E-04   0.000E+00   0.514E-03   0.737E-05
   0.551E+06   0.148E-01   0.711E-04   0.000E+00   0.511E-03   0.700E-05
   0.561E+06   0.147E-01   0.697E-04   0.000E+00   0.509E-03   0.665E-05
   0.571E+06   0.146E-01   0.683E-04   0.000E+00   0.507E-03   0.631E-05
   0.581E+06   0.145E-01   0.669E-04   0.000E+00   0.506E-03   0.598E-05
   0.591E+06   0.144E-01   0.656E-04   0.000E+00   0.506E-03   0.567E-05
   0.601E+06   0.143E-01   0.643E-04   0.000E+00   0.510E-03   0.537E-05
   0.611E+06   0.142E-01   0.630E-04   0.000E+00   0.501E-03   0.511E-05
   0.621E+06   0.142E-01   0.618E-04   0.000E+00   0.498E-03   0.487E-05
   0.631E+06   0.141E-01   0.607E-04   0.000E+00   0.494E-03   0.464E-05
   0.641E+06   0.140E-01   0.595E-04   0.000E+00   0.491E-03   0.442E-05
