-5.95	-11.4
-5.78	-9.8
-5.7	-9.4
-5.65	-10.5
-5.63	-10.2
-5.62	-9.7
-5.55	-9
-5.45	-9.1
-5.41	-10.2
-5.4	-9.7
-5.4	-10.6
-5.35	-9.1
-5.32	-9.6
-5.28	-9.02
-5.22	-9.1
-5.25	-9.6
-5.22	-7.9
-5.21	-9.2
-5.05	-9.9
-5.02	-10.8
-5	-8.4
-5	-8.6
-4.98	-10.05
-4.95	-8.2
-4.9	-9.6
-4.88	-8.7
-4.81	-9.1
-4.8	-8
-4.7	-8.62
-4.68	-9.9
-4.68	-8.3
-4.65	-9.7
-4.6	-9.4
-4.55	-8.7
-4.54	-8.9
-4.51	-8.4
-4.51	-9.5
-4.45	-8.8
-4.35	-9.6
-4.3	-8.9
-4.2	-9.5
-4.1	-9.1
-4.05	-9.8
-3.98	-8.4
-3.93	-9.2
-3.9	-9
-3.9	-9.7
-3.87	-8.4
-3.78	-9.1
-3.7	-8.2
-3.65	-9.2
-3.5	-7.2
-3.5	-7.25
